Bigram,Count
"abras,  materi",17
"abut,  said",2
"accord,  claim",13
"accumul,  accumul",1
"accumul,  cover",2
"accumul,  portion",2
"across,  width",6
"actuat,  person",1
"adapt,  enclos",1
"adapt,  member",1
"adapt,  support",3
"adhes,  section",6
"adjac,  outer",1
"adjac,  said",13
"adjust,  amount",2
"adjust,  portion",1
"adjust,  spacer",1
"advanc,  across",6
"advanc,  support",1
"advanc,  togeth",1
"air,  accumul",1
"air,  apertur",1
"air,  circular",1
"air,  concentr",1
"air,  flow",6
"air,  hole",5
"air,  inlet",2
"air,  region",1
"air,  select",1
"air,  separ",1
"airflow,  poro",1
"airflow,  rate",7
"along,  front",4
"along,  middl",1
"along,  plural",2
"along,  rail",1
"along,  root",1
"also,  shift",1
"amount,  water",2
"An,  assembl",19
"and/or,  said",2
"angl,  rel",2
"ankl,  portion",3
"anoth,  said",1
"apertur,  direct",2
"apertur,  impart",1
"apertur,  pass",1
"apertur,  respons",1
"apertur,  wall",1
"apparatu,  clean",1
"apparatu,  compris",1
"apparatu,  defin",13
"approxim,  1.5",2
"area,  20:1",1
"area,  concentr",1
"area,  contact",1
"area,  cross-sect",1
"area,  due",1
"area,  heel",3
"area,  rang",1
"area,  ratio",1
"area,  semiconductor",2
"area,  tire",1
"arm,  portion",3
"around,  back",2
"around,  his/her",3
"articulat,  direct",1
"articulat,  non-rot",1
"articulat,  upon",1
"assembl,  claim",19
"assembl,  compris",3
"assembl,  direct",1
"assembl,  engag",1
"assembl,  includ",1
"assembl,  recit",10
"assembl,  rotari",2
"assembl,  said",2
"assembl,  select",1
"assembl,  spray",1
"attach,  bodi",3
"attach,  depend",1
"attach,  main",2
"attach,  plural",2
"attach,  said",18
"attach,  upper",1
"axi,  rotat",1
"back,  edg",9
"back,  form",4
"back,  neck",2
"back,  side",3
"back,  surfac",4
"bag,  claim",17
"bag,  includ",1
"bag,  provid",2
"bar,  carri",1
"bar,  elev",1
"bar,  inner",1
"bar,  may",1
"bar,  permit",1
"bar,  proxim",1
"bar,  seat",1
"bar,  seat-support",1
"bar,  substanti",1
"base,  end",7
"base,  plate",18
"bathtub,  inner",7
"bathtub,  invalid",1
"bathtub,  posit",1
"bathtub,  proxim",1
"bathtub,  said",1
"bathtub,  secur",6
"bathtub,  side",2
"bathtub,  whereat",1
"bear,  fit",1
"bear,  roller",1
"bear,  shape",1
"bed,  dispos",1
"belt,  compris",3
"belt,  remov",1
"bevel,  area",4
"beyond,  diamet",6
"bicycl,  prevent",3
"bodi,  detach",1
"bodi,  guid",1
"bodi,  part",9
"bodi,  portion",3
"bodi,  provid",1
"bodi,  releas",2
"bodi,  substanti",1
"bolt,  insert",2
"bolt,  said",2
"bore,  drill",1
"bottom,  end",4
"bottom,  surfac",9
"bottom,  top",1
"bottom,  wall",5
"brace,  mean",12
"brace,  mount",6
"brake,  mean",3
"buffer,  member",1
"cant,  apertur",2
"carri,  seat",1
"center,  region",2
"chang,  length",2
"chemic,  compris",2
"chemic,  point",1
"chest,  stomach",4
"circular,  pattern",1
"claim,  claim",17
"clean,  due",3
"clean,  edg",1
"clean,  mechan",1
"clean,  particl",2
"clean,  said",1
"clean,  semiconductor",4
"clear,  edg",1
"close,  posit",4
"cloth,  materi",2
"cm/,  30.48",2
"cm/,  50.80",2
"cm/,  55.88",2
"cm/,  measur",5
"CO,  2",1
"collect,  particul",4
"combin,  tub",1
"commun,  said",2
"commun,  u, ",1
"compos,  five",2
"compris,  abras",4
"compris,  adjust",1
"compris,  articulat",1
"compris,  cloth",2
"compris,  cushion",3
"compris,  differ",1
"compris,  divid",2
"compris,  elastomer",3
"compris,  elong",3
"compris,  flow",2
"compris,  foam",3
"compris,  jet",1
"compris,  leg",1
"compris,  linkag",1
"compris,  mean",2
"compris,  measur",1
"compris,  NH",1
"compris,  NH4OH/H",1
"compris,  nylon",3
"compris,  pad",2
"compris,  plural",1
"compris,  poli",3
"compris,  polystyren",1
"compris,  polyurethan",3
"compris,  posit",6
"compris,  strap",2
"compris,  substanti",1
"compris,  tub",1
"compris,  tubular",6
"compris,  two",2
"compris,  water",2
"concentr,  accumul",1
"concentr,  cross-sect",2
"concentr,  engag",1
"concentr,  portion",1
"concentr,  within",1
"conduct,  pipe",2
"configur,  compris",1
"configur,  concentr",1
"configur,  direct",1
"configur,  engag",4
"configur,  extend",2
"configur,  insert",1
"configur,  movabl",2
"configur,  oper",1
"configur,  prevent",2
"configur,  releas",2
"configur,  remov",2
"configur,  rotat",4
"connector,  base",1
"connector,  bolt",2
"connector,  configur",4
"connector,  contact",2
"connector,  detach",1
"connector,  front",2
"connector,  maintain",1
"connector,  posit",3
"connector,  provid",2
"connector,  two",2
"consist,  rubber",1
"construct,  adjust",1
"construct,  detach",1
"construct,  main",1
"construct,  plural",1
"contact,  edg",1
"contact,  extens",1
"contact,  front",1
"contact,  inner",1
"contact,  intern",3
"contact,  semiconductor",3
"contact,  side",2
"contain,  incompress",1
"control,  mean",2
"convers,  said",1
"convert,  first",1
"convex,  portion",2
"coupl,  plural",1
"coupl,  said",1
"cover,  ankl",3
"cover,  area",4
"cover,  around",2
"cover,  foot",3
"cover,  front",8
"cover,  heel",3
"cover,  includ",1
"cover,  member",3
"cover,  membran",8
"cover,  portion",1
"cover,  ring",4
"cover,  said",1
"cover,  second",4
"cover,  wherein",2
"cross-sect,  area",4
"curv,  surfac",1
"cushion,  materi",6
"damag,  penil",3
"defin,  bottom",2
"defin,  claim",49
"defin,  one",8
"depend,  upon",1
"detach,  engag",1
"detach,  manner",2
"detach,  said",3
"determin,  orient",1
"devic,  claim",13
"devic,  compris",3
"devic,  protect",3
"diamet,  mount",6
"differ,  first",1
"differ,  materi",1
"differ,  tangenti",3
"dimens,  span",1
"direct,  determin",1
"direct,  first",3
"direct,  inward",4
"direct,  outward",2
"direct,  said",1
"direct,  second",2
"direct,  stationari",3
"direct,  stream",2
"direct,  thereof",1
"displac,  use",6
"dispos,  garment",4
"dispos,  poro",1
"dissip,  CO",1
"distanc,  pivot",1
"distanc,  therebetween",1
"divid,  divid",2
"divid,  insid",1
"divid,  knit",1
"divid,  said",2
"downwardli,  along",4
"downwardli,  rail",6
"downwardli,  rest",1
"downwardli,  said",1
"draw,  feet",1
"draw,  said",2
"drawstr,  enabl",2
"drawstr,  locat",1
"drill,  said",2
"due,  differ",2
"due,  friction",2
"edg,  abras",2
"edg,  back",3
"edg,  clean",6
"edg,  posit",12
"edg,  said",1
"edg,  semiconductor",5
"effect,  dissip",1
"either,  main",1
"elast,  permeabl",2
"elastomer,  materi",6
"elev,  hand",1
"elong,  flexibl",6
"enabl,  user",2
"enclos,  cover",3
"enclos,  feet",1
"enclos,  hand",1
"enclos,  trunk",1
"enclosur,  perimet",2
"end,  attach",4
"end,  bar",1
"end,  bottom",4
"end,  chang",2
"end,  connect",1
"end,  first",2
"end,  includ",2
"end,  join",4
"end,  joinabl",2
"end,  open",4
"end,  portion",16
"end,  posit",2
"end,  produc",2
"end,  protector",14
"end,  said",5
"end,  second",10
"end,  secur",8
"end,  strap",2
"end,  strip",2
"end,  support",4
"end,  thereof",1
"engag,  base",3
"engag,  bottom",1
"engag,  end",1
"engag,  inner",6
"engag,  insid",6
"engag,  intern",1
"engag,  opposit",2
"engag,  plural",1
"engag,  said",3
"engag,  said",1
"engag,  two",1
"entri,  sleep",2
"envelop,  contain",1
"envelop,  includ",1
"envelop,  type",1
"extend,  bottom",2
"extend,  downwardli",8
"extend,  first",2
"extend,  ledg",1
"extend,  said",3
"extend,  support",2
"extend,  therethrough",3
"extend,  upwardli",1
"extens,  mean",1
"extern,  side",4
"eyebal,  may",2
"eyebal,  posit",1
"face,  attach",1
"face,  compris",1
"face,  fluid",1
"face,  rotat",1
"face,  said",2
"facilit,  edg",2
"fan,  produc",1
"fasten,  locat",1
"fasten,  run",1
"faster,  first",1
"faster,  rotat",1
"faucet,  base",2
"faucet,  least",2
"faucet,  mount",2
"faucet,  onto",1
"faucet,  support",37
"feet,  lower",1
"feet,  portion",5
"feet,  user",1
"fill,  piec",4
"first,  close",4
"first,  configur",1
"first,  end",22
"first,  end",12
"first,  loop",5
"first,  roller",14
"first,  second",4
"first,  second",3
"first,  second",1
"first,  side",8
"first,  side",9
"first,  speed",6
"first,  strap",8
"fit,  support",1
"five,  sheath",5
"fix,  base",5
"fix,  faucet",2
"fix,  member",3
"fix,  predetermin",4
"flap,  provid",1
"flexibl,  member",6
"floor,  outsid",1
"floor,  side",1
"flow,  air",5
"flow,  control",2
"flow,  late",1
"flow,  poro",1
"flow,  rate",4
"flow,  respect",1
"flow,  said",3
"flow,  said",1
"fluid,  commun",2
"foam,  elastomer",3
"fold,  one",4
"foot,  area",3
"foot,  bodi",3
"form,  base",2
"form,  envelop",1
"form,  fold",4
"form,  four",1
"form,  hold",1
"form,  main",1
"form,  peripher",1
"form,  provid",1
"form,  strap",2
"form,  upper",2
"forth,  claim",10
"four,  divid",1
"friction,  differ",1
"friction,  edg",2
"front,  back",4
"front,  edg",11
"front,  end",7
"front,  portion",4
"front,  portion",1
"front,  surfac",8
"garment,  protector",7
"gener,  adjac",12
"gener,  enclos",3
"gener,  friction",1
"gener,  parallel",1
"gener,  posit",1
"gener,  rotat",1
"gener,  stream",1
"grip,  base",2
"group,  consist",1
"guid,  bodi",2
"guid,  member",4
"gusset,  region",1
"hand,  advanc",1
"hand,  portion",3
"hand,  user",1
"handi,  spray",2
"head,  portion",2
"heel,  portion",3
"heel,  toe",3
"height,  gener",4
"held,  floor",1
"his/her,  feet",1
"his/her,  leg",1
"his/her,  lower",1
"hold,  said",1
"hold,  water",1
"hole,  attach",1
"hole,  drill",1
"hole,  fix",1
"hole,  form",3
"hole,  front",1
"hole,  said",2
"hole,  said",4
"hole,  suffici",5
"hole,  therein",2
"homogen,  materi",2
"hous,  fluid",1
"hous,  water",1
"impart,  rotat",1
"imperm,  made",1
"imperm,  u, ",1
"inch,  height",2
"inclin,  toward",1
"includ,  adhes",2
"includ,  head",1
"includ,  inward",1
"includ,  least",4
"includ,  least",2
"includ,  least",1
"includ,  plural",2
"includ,  poro",1
"includ,  seat",1
"includ,  upper",1
"incompress,  fill",4
"independ,  .",1
"independ,  knit",1
"inextens,  materi",2
"inflat,  ring",1
"inhibit,  said",1
"inlet,  air",1
"inlet,  direct",1
"inlet,  gener",1
"inlet,  said",1
"inner,  bathtub",1
"inner,  end",2
"inner,  layer",1
"inner,  locat",1
"inner,  outer",2
"inner,  peripheri",1
"inner,  rail-support",3
"inner,  sidewal",1
"inner,  surfac",1
"inner,  wall",12
"insert,  bore",1
"insert,  hole",2
"insert,  mount",2
"insert,  said",4
"insid,  sock",1
"insid,  surfac",6
"integr,  form",1
"intern,  surfac",4
"invalid,  seat",1
"inward,  plural",2
"inward,  rim",2
"jet,  assembl",16
"jet,  propel",3
"join,  first",4
"join,  second",4
"join,  togeth",2
"joinabl,  adhes",2
"joinabl,  form",2
"knit,  along",1
"knit,  bottom",1
"late,  10.20",1
"layer,  five",1
"least,  10.20",1
"least,  one",24
"least,  portion",2
"least,  two",4
"ledg,  contact",1
"ledg,  wherebi",1
"ledg,  wherein",1
"leg,  also",1
"leg,  bar",1
"leg,  extend",1
"leg,  may",1
"leg,  portion",8
"leg,  provid",1
"length,  gener",2
"length,  main",1
"length,  strap",2
"lie,  said",2
"line,  toe",1
"linkag,  extend",1
"liquid,  move",4
"locat,  provid",1
"locat,  side",1
"locat,  substanti",1
"locat,  toward",1
"locat,  wherein",1
"loop,  member",13
"loosen,  direct",1
"lower,  end",1
"lower,  leg",2
"lower,  part",1
"lug,  engag",2
"made,  elast",2
"made,  materi",1
"made,  rigid",2
"main,  bodi",12
"main,  bodi",2
"main,  entri",2
"maintain,  distanc",1
"male,  ride",3
"manner,  .",2
"manner,  select",1
"materi,  compris",3
"materi,  compris",11
"materi,  first",1
"materi,  least",1
"materi,  select",1
"materi,  side",1
"may,  actuat",1
"may,  advanc",1
"may,  draw",1
"may,  held",1
"may,  orient",2
"may,  select",3
"may,  support",1
"may,  wash",1
"mean,  adjust",2
"mean,  compris",3
"mean,  compris",9
"mean,  engag",2
"mean,  extend",7
"mean,  may",1
"mean,  remov",3
"mean,  support",1
"mean,  wherebi",1
"measur,  airflow",8
"measur,  meter",5
"mechan,  compris",1
"mechan,  edg",2
"meet,  main",1
"meet,  upper",1
"member,  attach",1
"member,  compris",6
"member,  compris",2
"member,  configur",5
"member,  construct",4
"member,  contact",2
"member,  coupl",1
"member,  defin",29
"member,  detach",1
"member,  direct",4
"member,  engag",1
"member,  first",6
"member,  fix",2
"member,  inclin",1
"member,  inhibit",1
"member,  insert",2
"member,  lie",1
"member,  move",3
"member,  open",6
"member,  oper",1
"member,  peripher",1
"member,  pivot",2
"member,  plural",2
"member,  posit",2
"member,  provid",4
"member,  releas",2
"member,  rotat",1
"member,  said",2
"member,  said",1
"member,  screw",2
"member,  slit",1
"member,  therein",1
"member,  turn",3
"member,  upper",2
"membran,  compris",2
"meter,  accumul",1
