,0
"(u'12', u'.')",1
"(u'wall', u'said')",1
"(u'prevent', u'member')",9
"(u'.', u'A')",31
"(u'wherein', u'insert')",1
"(u'upper', u'portion')",3
"(u'move', u'toward')",2
"(u'tighten', u'.')",1
"(u'11', u'.')",1
"(u'wherein', u'upper')",1
"(u'8', u',')",1
"(u'seat', u'bottom')",2
"(u'open', u'beyond')",6
"(u'connector', u',')",2
"(u'hole', u'.')",1
"(u'bore', u'drill')",1
"(u'pivot', u'attach')",2
"(u'detach', u'manner')",2
"(u'.', u'5')",1
"(u'provid', u'inner')",1
"(u'side', u'surfac')",4
"(u'faucet', u'mount')",2
"(u'.', u'13')",1
"(u'grip', u'base')",2
"(u'member', u'provid')",4
"(u'.', u'24')",1
"(u'member', u'therein')",1
"(u'said', u'connector')",4
"(u'hole', u'front')",1
"(u'member', u'engag')",1
"(u'plural', u'tune')",1
"(u'end', u'portion')",12
"(u'member', u'inhibit')",1
"(u'guid', u'member')",4
"(u'prevent', u'plural')",2
"(u'independ', u'.')",1
"(u'wherein', u'guid')",1
"(u'2', u'3')",1
"(u'plate', u';')",2
"(u'size', u'said')",1
"(u'connector', u'base')",1
"(u'spacer', u'insert')",1
"(u'cover', u'ring')",4
"(u'faucet', u'.')",1
"(u'9', u',')",1
"(u')', u'tighten')",1
"(u'form', u'base')",2
"(u'portion', u'handi')",2
"(u'4', u'.')",1
"(u'provid', u'support')",2
"(u'contact', u'front')",1
"(u'member', u'oper')",1
"(u'predetermin', u'posit')",4
"(u'22', u'.')",1
"(u'said', u'main')",1
"(u'cover', u'said')",1
"(u'upper', u'surfac')",5
"(u'wherein', u'said')",18
"(u'14', u',')",1
"(u'.', u'19')",1
"(u'hole', u'fix')",1
"(u'said', u'water')",1
"(u',', u'tighten')",2
"(u'wherein', u'adapt')",1
"(u'fix', u'base')",5
"(u'turn', u'prevent')",9
"(u'engag', u'plural')",1
"(u'member', u'inclin')",1
"(u'extern', u'side')",4
"(u'bolt', u'insert')",2
"(u'extend', u'support')",2
"(u',', u'turn')",1
"(u'oper', u'engag')",1
"(u'connector', u'maintain')",1
"(u'.', u'21')",1
"(u'insert', u'bore')",1
"(u'distanc', u',')",1
"(u'construct', u'main')",1
"(u'least', u'one')",2
"(u'insert', u'said')",4
"(u'conduct', u'pipe')",2
"(u'separ', u'distanc')",2
"(u'seat', u'separ')",2
"(u'.', u'26')",1
"(u'support', u'seat')",30
"(u'seat', u'provid')",2
"(u'screw', u'onto')",3
"(u'.', u'15')",1
"(u'surfac', u'front')",1
"(u'claim', u'24')",3
"(u'said', u'faucet')",2
"(u'construct', u'adjust')",1
"(u'7', u'.')",1
"(u';', u'plural')",6
"(u'upon', u'size')",1
"(u'.', u'2')",1
"(u'member', u'contact')",2
"(u'.', u'11')",1
"(u'portion', u'tighten')",1
"(u'base', u'end')",7
"(u'member', u'.')",3
"(u'19', u'.')",1
"(u'penetr', u'said')",1
"(u'construct', u'plural')",1
"(u'3', u',')",8
"(u'thereof', u'direct')",1
"(u'said', u'turn')",5
"(u'member', u'defin')",29
"(u'pipe', u'insert')",2
"(u'surfac', u'form')",1
"(u'seat', u'front')",1
"(u'ring', u';')",1
"(u'20', u'.')",1
"(u'.', u'30')",1
"(u'17', u'.')",1
"(u',', u'penetr')",1
"(u'member', u'coupl')",1
"(u'distanc', u'therebetween')",1
"(u',', u'wherein')",34
"(u'25', u'.')",1
"(u'therebetween', u'.')",1
"(u'connector', u'detach')",1
"(u'said', u'guid')",4
"(u'bottom', u'surfac')",9
"(u'said', u'penetr')",1
"(u'hole', u';')",1
"(u'plate', u',')",5
"(u'configur', u'movabl')",2
"(u'water', u'conduct')",2
"(u'connector', u'.')",1
"(u'form', u'hold')",1
"(u'plate', u'faucet')",4
"(u'.', u'7')",1
"(u'distanc', u'pivot')",1
