,0
"(u'1', u'compris', u'flow')",1
"(u'remov', u'said', u'nozzl')",2
"(u'apertur', u'impart', u'rotat')",1
"(u',', u'rotari', u'face')",1
"(u'respect', u'rotat', u'apertur')",1
"(u'water', u'air', u'region')",1
"(u'releas', u'manner', u'select')",1
"(u'4', u'.', u'The')",1
"(u'direct', u'stationari', u'configur')",2
"(u'stationari', u'configur', u'remov')",1
"(u'assembl', u'said', u'rotari')",1
"(u'lug', u'engag', u'end')",1
"(u'direct', u'stream', u'water')",2
"(u'engag', u'opposit', u'surfac')",2
"(u'first', u'second', u'configur')",1
"(u'jet', u'assembl', u'rotari')",2
"(u'divid', u'said', u'stream')",2
"(u'face', u'fluid', u'commun')",1
"(u'The', u'jet', u'assembl')",4
"(u'mix', u'water', u'air')",1
"(u'assembl', u'engag', u'said')",1
"(u'stream', u'water', u'air')",3
"(u'direct', u'said', u'stream')",1
"(u'jet', u'assembl', u'direct')",1
"(u'adjust', u'amount', u'water')",2
"(u'region', u',', u'said')",1
"(u'7', u'wherein', u'said')",2
"(u'said', u'eyebal', u'may')",2
"(u'wall', u'water-hold', u'enclosur')",1
"(u'assembl', u'compris', u'divid')",1
"(u'configur', u'oper', u'coupl')",1
"(u'face', u'.', u'10')",1
"(u'stream', u'flow', u'respect')",1
"(u'claim', u'1', u'upon')",1
"(u'nozzl', u'articulat', u'upon')",1
"(u'tube', u'plural', u'cant')",1
"(u'rotari', u'face', u'fluid')",1
"(u'mode', u',', u'nozzl')",1
"(u'rotari', u'face', u'attach')",1
"(u'.', u'10', u'.')",1
"(u'apertur', u'.', u'4')",1
"(u'compris', u'articulat', u'non-rot')",1
"(u'rotari', u'assembl', u'compris')",2
"(u',', u'said', u'rotari')",4
"(u'jet', u'assembl', u'recit')",10
"(u'tube', u'.', u'2')",1
"(u'divid', u'divid', u'said')",2
"(u'Venturi', u'hous', u'water')",1
"(u'The', u'whirlpool', u'jet')",6
"(u'rotat', u'torqu', u'said')",1
"(u'face', u'attach', u'said')",1
"(u',', u'nozzl', u'articulat')",1
"(u'compris', u'divid', u'divid')",2
"(u'.', u'7', u'.')",1
"(u'said', u'nozzl', u'rotat')",1
"(u'rel', u'said', u'wall')",2
"(u'one', u'said', u'cant')",1
"(u'said', u'water', u'inlet')",1
"(u';', u'Venturi', u'hous')",1
"(u'7', u'upon', u'remov')",1
"(u'configur', u'concentr', u'engag')",1
"(u'air', u'flow', u'said')",3
"(u'second', u'configur', u'remov')",1
"(u'tube', u'said', u'eyebal')",2
"(u'assembl', u'said', u'direct')",1
"(u'pattern', u',', u'said')",1
"(u'1', u'wherein', u'said')",2
"(u'face', u'said', u'whirlpool')",1
"(u'assembl', u'.', u'8')",1
"(u'rotat', u'apertur', u'direct')",1
"(u'inlet', u'air', u'inlet')",1
"(u'said', u'direct', u'stationari')",1
"(u'first', u'configur', u'oper')",1
