Trigram,Count
"abras, materi, compris",11
"abras, materi, first",1
"abut, said, panel",2
"accumul, accumul, portion",1
"accumul, cover, area",2
"accumul, portion, air",2
"across, width, bathtub",6
"actuat, person, seat",1
"adapt, member, lie",1
"adapt, support, garment",3
"adhes, section, first",2
"adhes, section, posit",2
"adhes, section, second",2
"adjac, outer, side",1
"adjac, said, back",6
"adjac, said, front",7
"adjust, amount, water",2
"adjust, portion, attach",1
"adjust, spacer, extend",1
"advanc, across, width",6
"advanc, support, bar",1
"advanc, togeth, along",1
"air, accumul, accumul",1
"air, apertur, wall",1
"air, circular, pattern",1
"air, flow, porou",1
"air, flow, said",3
"air, flow, said",1
"air, hole, suffici",5
"air, inlet, direct",1
"air, inlet, gener",1
"air, select, spot",1
"air, separ, stream",1
"airflow, porou, sleep",1
"airflow, rate, 10.20",1
"airflow, rate, 25.40",3
"airflow, rate, bed",1
"airflow, rate, compris",1
"airflow, rate, concentr",1
"along, front, surfac",4
"along, middl, front",1
"along, plural, connector",2
"along, root, line",1
"also, shift, posit",1
"amount, water, air",2
"An, assembl, claim",19
"and/or, said, hand",2
"angl, rel, said",2
"ankl, portion, cover",3
"anoth, said, bodi",1
"apertur, direct, determin",1
"apertur, direct, stream",1
"apertur, impart, rotat",1
"apertur, pass, said",1
"apertur, respons, water",1
"apertur, wall, water-hold",1
"apparatu, clean, semiconductor",1
"apparatu, defin, claim",13
"approxim, 1.5, time",2
"area, 20:1, 60",1
"area, concentr, cross-sect",1
"area, contact, semiconductor",1
"area, cross-sect, area",1
"area, due, differ",1
"area, heel, toe",3
"area, rang, 20:1",1
"area, ratio, cover",1
"area, semiconductor, wafer",2
"area, tire, cross-sect",1
"arm, portion, provid",1
"arm, portion, releas",1
"arm, portion, respect",1
"around, back, neck",2
"around, his/her, feet",1
"around, his/her, leg",1
"around, his/her, lower",1
"articulat, direct, stream",1
"articulat, non-rot, nozzl",1
"articulat, upon, remov",1
"assembl, compris, ;",1
"assembl, compris, divid",1
"assembl, compris, plural",1
"assembl, direct, stationari",1
"assembl, engag, said",1
"assembl, includ, seat",1
"assembl, recit, claim",10
"assembl, rotari, configur",1
"assembl, rotari, mode",1
"assembl, said, direct",1
"assembl, said, rotari",1
"assembl, select, convert",1
"assembl, spray, water",1
"attach, bodi, part",3
"attach, depend, upon",1
"attach, main, bodi",2
"attach, plural, connector",2
"attach, said, connector",1
"attach, said, first",6
"attach, said, least",1
"attach, said, main",1
"attach, said, nozzl",1
"attach, said, second",6
"attach, said, support",1
"attach, side, wall",1
"attach, upper, portion",1
"axi, rotat, support",1
"back, form, fold",4
"back, neck, user",2
"back, side, edg",3
"back, surfac, ,",4
"bag, claim, claim",17
"bag, provid, substanti",1
"bag, provid, zip",1
"bar, carri, seat",1
"bar, elev, hand",1
"bar, inner, outer",1
"bar, may, held",1
"bar, permit, outer",1
"bar, proxim, inner",1
"bar, seat-support, leg",1
"bar, seat, seat",1
"bar, substanti, inner",1
"base, end, portion",7
"base, plate, attach",1
"base, plate, bottom",2
"base, plate, faucet",4
"base, plate, provid",1
"bathtub, inner, outer",1
"bathtub, inner, wall",6
"bathtub, invalid, seat",1
"bathtub, posit, center",1
"bathtub, proxim, floor",1
"bathtub, said, seat-support",1
"bathtub, secur, rail",6
"bathtub, side, inner",1
"bathtub, side, outer",1
"bathtub, whereat, person",1
"bear, fit, support",1
"bear, roller, locat",1
"bear, shape, posit",1
"bed, dispos, porou",1
"belt, remov, attach",1
"bevel, area, due",1
"bevel, area, semiconductor",2
"beyond, diamet, mount",6
"bicycl, prevent, damag",3
"bodi, detach, said",1
"bodi, guid, bodi",1
"bodi, part, portion",8
"bodi, part, user",1
"bodi, portion, cover",3
"bodi, provid, drawstr",1
"bodi, releas, attach",2
"bodi, substanti, enclos",1
"bolt, insert, hole",2
"bolt, said, bolt",1
"bolt, said, plural",1
"bore, drill, said",1
"bottom, surfac, base",1
"bottom, surfac, configur",2
"bottom, surfac, support",6
"bottom, top, part",1
"bottom, wall, sheet",1
"bottom, wall, side",2
"brace, mean, compris",6
"brace, mean, extend",6
"brace, mount, slide",6
"brake, mean, may",1
"brake, mean, wherebi",1
"buffer, member, attach",1
"cant, apertur, pass",1
"center, region, bathtub",1
"center, region, said",1
"chang, length, strap",2
"chemic, compris, NH",1
"chemic, compris, NH4OH/H",1
"chemic, point, contact",1
"chest, stomach, user",4
"clean, due, differ",1
"clean, due, friction",2
"clean, edg, semiconductor",1
"clean, mechan, compris",1
"clean, particl, bevel",2
"clean, said, least",1
"clean, semiconductor, substrat",2
"clean, semiconductor, wafer",2
"clear, edg, semiconductor",1
"close, posit, storag",4
"cm/, measur, meter",5
"collect, particul, liquid",4
"combin, tub, inner",1
"commun, ,, attach",1
"commun, said, nozzl",1
"commun, said, water",1
"compos, five, sheath",2
"compris, abras, materi",4
"compris, adjust, spacer",1
"compris, articulat, non-rot",1
"compris, cloth, materi",2
"compris, cushion, materi",3
"compris, differ, materi",1
"compris, divid, divid",2
"compris, elastomer, materi",3
"compris, elong, flexibl",3
"compris, flow, control",2
"compris, foam, elastomer",3
"compris, jet, propel",1
"compris, leg, extend",1
"compris, linkag, extend",1
"compris, mean, engag",2
"compris, measur, airflow",1
"compris, NH, 4",1
"compris, NH4OH/H, 2",1
"compris, plural, lug",1
"compris, poli, vinyl",3
"compris, polystyren, ball",1
"compris, polyurethan, .",3
"compris, posit, brace",6
"compris, strap, first",2
"compris, substanti, water",1
"compris, tub, ledg",1
"compris, tubular, brace",6
"compris, two, strap",2
"compris, water, jet",2
"concentr, ;, measur",1
"concentr, accumul, portion",1
"concentr, cross-sect, area",2
"concentr, engag, said",1
"concentr, portion, air",1
"concentr, within, said",1
"conduct, pipe, insert",2
"configur, compris, articulat",1
"configur, concentr, engag",1
"configur, direct, stationari",1
"configur, engag, base",3
"configur, engag, bottom",1
"configur, extend, support",2
"configur, insert, said",1
"configur, movabl, along",2
"configur, oper, coupl",1
"configur, prevent, plural",2
"configur, releas, fix",2
"configur, remov, said",2
"configur, rotat, direct",4
"connector, base, end",1
"connector, bolt, said",1
"connector, configur, extend",2
"connector, configur, prevent",2
"connector, contact, intern",2
"connector, detach, manner",1
"connector, front, end",2
"connector, maintain, distanc",1
"connector, posit, extern",2
"connector, posit, said",1
"connector, provid, said",2
"connector, two, bolt",2
"consist, rubber, synthet",1
"construct, adjust, portion",1
"construct, detach, said",1
"construct, main, bodi",1
"construct, plural, tighten",1
"contact, edg, semiconductor",1
"contact, extens, mean",1
"contact, front, end",1
"contact, inner, peripheri",1
"contact, intern, surfac",3
"contact, semiconductor, substrat",1
"contact, semiconductor, wafer",2
"contact, side, scrub",2
"contain, incompress, fill",1
"control, mean, adjust",2
"convers, said, whirlpool",1
"convert, first, second",1
"convex, portion, form",1
"coupl, plural, connector",1
"coupl, said, nozzl",1
"cover, area, concentr",1
"cover, area, cross-sect",1
"cover, area, tire",1
"cover, around, back",2
"cover, foot, area",3
"cover, front, portion",4
"cover, front, surfac",4
"cover, includ, plural",1
"cover, member, said",2
"cover, member, slit",1
"cover, membran, compris",2
"cover, portion, porou",1
"cover, ring, cover",1
"cover, ring, penetr",1
"cover, ring, pivot",1
"cover, said, fix",1
"cover, second, end",4
"cover, wherein, strap",2
"cross-sect, area, 20:1",1
"cross-sect, area, rang",1
"cross-sect, area, ratio",1
"curv, surfac, form",1
"cushion, materi, compris",3
"damag, penil, arteri",3
"defin, one, claim",8
"depend, upon, size",1
"detach, engag, said",1
"detach, said, main",1
"detach, said, plural",1
"detach, said, support",1
"determin, orient, said",1
"devic, protect, perineum",3
"diamet, mount, hole",6
"differ, first, speed",1
"differ, tangenti, veloc",3
"dimens, span, width",1
"direct, determin, orient",1
"direct, first, roller",1
"direct, first, speed",2
"direct, inward, plural",2
"direct, outward, tighten",1
"direct, said, stream",1
"direct, second, speed",2
"direct, stationari, configur",2
"direct, stationari, mode",1
"direct, stream, water",2
"dispos, garment, protector",4
"dispos, porou, sleep",1
"dissip, CO, 2",1
"distanc, pivot, independ",1
"divid, divid, said",2
"divid, insid, sock",1
"divid, knit, bottom",1
"divid, said, stream",2
"downwardli, along, front",4
"downwardli, rail, engag",6
"downwardli, rest, ledg",1
"downwardli, said, rail",1
"draw, feet, portion",1
"draw, said, least",2
"drawstr, enabl, user",2
"drawstr, locat, toward",1
"drill, said, spacer",2
"due, differ, tangenti",2
"due, friction, differ",1
"due, friction, edg",1
"edg, abras, materi",2
"edg, back, side",3
"edg, clean, due",1
"edg, clean, particl",2
"edg, clean, semiconductor",3
"edg, posit, gener",12
"edg, said, panel",1
"edg, semiconductor, substrat",1
"edg, semiconductor, wafer",4
"effect, dissip, CO",1
"either, main, bodi",1
"elast, permeabl, materi",2
"elev, hand, advanc",1
"elong, flexibl, member",6
"enabl, user, draw",2
"enclos, cover, membran",3
"enclos, feet, user",1
"enclos, hand, user",1
"enclos, trunk, user",1
"enclosur, perimet, hole",2
"end, attach, said",4
"end, bar, elev",1
"end, bottom, end",4
"end, chang, length",2
"end, first, end",2
"end, includ, adhes",2
"end, join, first",2
"end, join, second",2
"end, joinabl, adhes",2
"end, open, posit",4
"end, portion, faucet",2
"end, portion, first",2
"end, portion, handi",2
"end, portion, plural",3
"end, portion, said",3
"end, portion, second",2
"end, portion, thereof",1
"end, portion, tighten",1
"end, posit, extend",2
"end, produc, second",2
"end, protector, cover",10
"end, protector, support",4
"end, said, bar",1
"end, said, nozzl",1
"end, said, support",1
"end, said, tighten",1
"end, second, end",2
"end, second, end",6
"end, second, strap",2
"end, secur, attach",8
"end, strap, join",2
"end, strip, join",2
"end, support, first",4
"end, thereof, direct",1
"engag, base, plate",3
"engag, bottom, surfac",1
"engag, end, said",1
"engag, inner, wall",6
"engag, insid, surfac",6
"engag, intern, surfac",1
"engag, opposit, surfac",2
"engag, plural, connector",1
"engag, said, base",1
"engag, said, nozzl",3
"engag, two, rail",1
"entri, sleep, bag",2
"envelop, contain, incompress",1
"envelop, includ, upper",1
"envelop, type, ,",1
"extend, bottom, surfac",2
"extend, downwardli, rail",6
"extend, downwardli, rest",1
"extend, downwardli, said",1
"extend, first, end",2
"extend, ledg, wherebi",1
"extend, said, slit",3
"extend, support, seat",2
"extend, upwardli, brake",1
"extens, mean, extend",1
"extern, side, surfac",4
"eyebal, may, orient",2
"eyebal, posit, concentr",1
"face, attach, said",1
"face, compris, divid",1
"face, fluid, commun",1
"face, rotat, apertur",1
"face, said, first",1
"face, said, whirlpool",1
"facilit, edg, clean",2
"fan, produc, air",1
"fasten, locat, substanti",1
"fasten, run, substanti",1
"faster, first, speed",1
"faster, rotat, speed",1
"faucet, base, plate",2
"faucet, least, one",2
"faucet, mount, hole",2
"faucet, onto, said",1
"faucet, support, member",37
"feet, lower, leg",1
"fill, piec, compris",1
"fill, piec, occupi",2
"first, close, posit",4
"first, configur, oper",1
"first, end, attach",2
"first, end, first",2
"first, end, join",4
"first, end, portion",2
"first, end, protector",10
"first, end, second",2
"first, end, second",6
"first, end, secur",4
"first, end, strap",2
"first, loop, member",5
"first, roller, approxim",1
"first, roller, clean",1
"first, roller, clear",1
"first, roller, compris",1
"first, roller, configur",2
"first, roller, gener",1
"first, roller, rotat",2
"first, roller, second",1
"first, second, configur",1
"first, second, end",4
"first, second, loop",3
"first, side, edg",9
"first, side, first",4
"first, side, second",4
"first, speed, contact",1
"first, speed, second",2
"first, strap, section",6
"first, strap, tear",2
"fit, support, bar",1
"five, sheath, form",1
"five, sheath, independ",1
"five, sheath, wherein",2
"fix, base, end",1
"fix, base, plate",4
"fix, faucet, mount",2
"fix, member, configur",1
"fix, member, move",1
"fix, member, peripher",1
"fix, predetermin, posit",4
"flap, provid, either",1
"flexibl, member, compris",3
"floor, outsid, bathtub",1
"floor, side, seat",1
"flow, air, hole",5
"flow, control, mean",2
"flow, late, 10.20",1
"flow, porou, sleep",1
"flow, rate, 25.40",3
"flow, rate, least",1
"flow, respect, rotat",1
"flow, said, nozzl",3
"flow, said, plural",1
"fluid, commun, said",2
"foam, elastomer, materi",3
"fold, one, first",4
"foot, area, heel",3
"foot, bodi, portion",3
"form, base, plate",2
"form, envelop, contain",1
"form, fold, one",4
"form, four, divid",1
"form, hold, water",1
"form, main, bodi",1
"form, peripher, wall",1
"form, provid, releas",1
"form, strap, wherein",2
"form, upper, portion",2
"four, divid, insid",1
"friction, differ, tangenti",1
"friction, edg, abras",2
"front, back, form",4
"front, edg, ,",10
"front, edg, said",1
"front, end, portion",5
"front, end, said",1
"front, end, thereof",1
"front, portion, chest",4
"front, portion, main",1
"front, surfac, back",4
"front, surfac, protector",4
"garment, protector, compris",4
"garment, protector, neck",3
"gener, adjac, said",12
"gener, enclos, cover",3
"gener, friction, edg",1
"gener, parallel, said",1
"gener, posit, adjac",1
"gener, rotat, spin",1
"gener, stream, mix",1
"grip, base, plate",2
"group, consist, rubber",1
"guid, bodi, detach",1
"guid, member, construct",3
"guid, member, provid",1
"gusset, region, least",1
"hand, advanc, support",1
"head, portion, releas",1
"heel, portion, cover",3
"height, gener, 1",4
"held, floor, side",1
"his/her, feet, lower",1
"his/her, lower, leg",1
"hold, said, panel",1
"hold, water, conduct",1
"hole, attach, said",1
"hole, drill, said",1
"hole, fix, base",1
"hole, form, base",2
"hole, form, peripher",1
"hole, front, end",1
"hole, said, enclosur",2
"hole, said, support",4
"hole, suffici, produc",5
"homogen, materi, select",1
"hous, fluid, commun",1
"hous, water, inlet",1
"impart, rotat, torqu",1
"imperm, made, rigid",1
"inch, height, gener",2
"inclin, toward, said",1
"includ, adhes, section",2
"includ, head, portion",1
"includ, inward, rim",1
"includ, plural, hole",2
"includ, porou, cover",1
"includ, seat, mount",1
"includ, upper, wall",1
"incompress, fill, piec",4
"independ, knit, along",1
"inflat, ring, .",1
"inhibit, said, water",1
"inlet, air, inlet",1
"inlet, direct, said",1
"inlet, gener, stream",1
"inlet, said, air",1
"inner, bathtub, side",1
"inner, end, said",2
"inner, layer, five",1
"inner, locat, wherein",1
"inner, outer, end",1
"inner, outer, side",1
"inner, peripheri, surfac",1
"inner, rail-support, mean",3
"inner, sidewal, provid",1
"inner, surfac, said",1
"inner, wall, bathtub",6
"inner, wall, engag",6
"insert, bore, drill",1
"insert, hole, drill",1
"insert, mount, hole",2
"insert, said, open",1
"insert, said, penetr",1
"insert, said, support",1
"insert, said, turn",1
"insid, surfac, bathtub",6
"instal, ,, posit",1
"integr, form, main",1
"intern, surfac, said",4
"invalid, seat, assembl",1
"inward, plural, tighten",2
"inward, rim, locat",1
"inward, rim, made",1
"jet, assembl, compris",1
"jet, assembl, direct",1
"jet, assembl, recit",10
"jet, assembl, rotari",2
"jet, assembl, select",1
"jet, propel, least",1
"jet, propel, water",2
"join, first, side",4
"join, second, side",4
"join, togeth, form",1
"join, togeth, sew",1
"joinabl, adhes, section",2
"joinabl, form, strap",2
"knit, along, root",1
"knit, bottom, top",1
"late, 10.20, cm/",1
"layer, five, sheath",1
"least, 10.20, cm/",1
"least, one, adhes",1
"least, one, arm",2
"least, one, base",2
"least, one, belt",1
"least, one, bevel",2
"least, one, bodi",1
"least, one, chemic",3
"least, one, envelop",1
"least, one, leg",7
"least, one, tearabl",4
"least, portion, upper",2
"least, two, bodi",3
"least, two, leg",1
"ledg, contact, extens",1
"ledg, wherebi, rail",1
"ledg, wherein, inner",1
"leg, also, shift",1
"leg, bar, may",1
"leg, extend, downwardli",1
"leg, may, advanc",1
"leg, portion, arm",1
"leg, portion, around",2
"leg, portion, integr",1
"leg, portion, meet",1
"leg, portion, provid",2
"leg, portion, wherebi",1
"leg, provid, wheel",1
"length, gener, 3",2
"length, main, bodi",1
"length, strap, section",1
"lie, said, support",1
"lie, said, tighten",1
"linkag, extend, upwardli",1
"liquid, move, downwardli",4
"locat, provid, axi",1
"locat, side, wall",1
"locat, substanti, along",1
"locat, toward, lower",1
"locat, wherein, seat",1
"loop, member, compris",3
"loop, member, first",6
"loosen, direct, thereof",1
"lower, part, said",1
"lug, engag, end",1
"lug, engag, said",1
"made, elast, permeabl",2
"made, materi, side",1
"made, rigid, semirigid",2
"main, bodi, guid",1
"main, bodi, provid",1
"main, bodi, releas",2
"main, bodi, substanti",1
"main, entri, sleep",2
"maintain, distanc, therebetween",1
"male, ride, bicycl",3
"manner, select, convers",1
"materi, compris, foam",3
"materi, compris, nylon",3
"materi, compris, pad",2
"materi, compris, poli",3
"materi, compris, polyurethan",3
"materi, first, roller",1
"materi, least, portion",1
"materi, select, group",1
"materi, side, wall",1
"may, actuat, person",1
"may, advanc, togeth",1
"may, draw, said",1
"may, held, floor",1
"may, orient, select",2
"may, select, extend",3
"may, support, said",1
"may, wash, shower",1
"mean, adjust, amount",2
"mean, compris, adjust",1
"mean, compris, leg",1
"mean, compris, tub",1
"mean, compris, tubular",6
"mean, engag, opposit",2
"mean, extend, downwardli",6
"mean, extend, ledg",1
