Word,Count
abras,17
abut,2
accord,13
accumul,5
across,6
actuat,1
adapt,5
adhes,6
adjac,14
adjust,4
advanc,9
air,21
airflow,8
alcohol,3
along,9
also,1
amount,2
An,19
and/or,2
angl,2
ankl,6
anoth,1
apertur,9
apparatu,15
approxim,2
area,16
arm,3
around,5
arteri,3
articulat,3
assembl,44
attach,29
axi,1
b,6
back,22
bag,20
ball,1
bar,10
base,25
bathtub,31
bear,3
bed,1
belt,4
bevel,4
beyond,6
bicycl,3
bodi,28
bolt,10
bore,1
bottom,23
brace,18
brake,3
buffer,1
c,4
cant,2
carri,1
center,2
chang,2
chemic,3
chest,4
circular,1
claim,156
clean,12
clear,1
close,4
cloth,2
cm/,15
CO,1
collect,4
combin,1
commun,3
compos,2
compris,93
concentr,7
conduct,2
configur,24
connect,1
connector,23
consist,1
construct,4
contact,12
contain,1
control,2
convers,1
convert,1
convex,2
coupl,2
cover,56
cross-sect,4
curv,1
cushion,6
damag,3
defin,59
depend,1
detach,6
determin,1
devic,19
diamet,6
differ,5
dimens,1
direct,19
displac,6
dispos,5
dissip,1
distanc,3
divid,6
downwardli,12
draw,3
drawstr,4
drill,2
due,4
edg,54
effect,1
either,1
elast,2
elastomer,6
elev,1
elong,6
enabl,2
enclos,4
enclos,3
enclosur,5
end,102
engag,26
entri,2
envelop,3
extend,30
extens,1
extern,4
eyebal,4
face,8
facilit,2
fan,1
fasten,2
faster,2
faucet,47
feet,7
fill,4
first,97
fit,1
five,5
fix,14
flap,1
flexibl,6
floor,3
flow,19
fluid,2
foam,4
fold,4
foot,6
form,16
forth,10
four,1
friction,3
front,35
fulli,1
garment,7
gener,28
grip,2
group,1
guid,6
gusset,1
hand,5
handi,2
head,2
heel,9
height,4
held,1
his/her,3
hold,2
hole,30
homogen,2
hous,2
impart,1
imperm,2
inch,16
inclin,1
includ,17
incompress,4
independ,2
inextens,2
inflat,1
inhibit,1
inlet,4
inner,25
insert,9
insid,7
instal,1
integr,1
intern,4
invalid,1
inward,6
jet,19
join,10
joinabl,4
knit,2
late,1
layer,1
least,31
ledg,5
leg,17
length,5
lie,2
line,1
linkag,1
liquid,4
locat,5
loop,13
loosen,1
lower,4
lug,2
made,5
main,16
maintain,1
male,3
manner,3
materi,42
may,11
mean,31
measur,13
mechan,3
meet,2
member,116
membran,8
meter,5
method,10
middl,12
mix,1
mode,2
mount,24
movabl,2
move,7
moveabl,2
neck,7
NH,1
NH4OH/H,1
non-rot,1
non-rotat,1
nozzl,19
nut,1
nylon,3
O,1
occupi,2
OH,1
one,40
onto,5
open,16
oper,4
opposit,2
orient,4
outer,10
outsid,1
outward,2
pad,2
panel,21
parallel,1
part,11
partial,1
particl,2
particul,4
pass,1
pattern,1
penetr,3
penil,3
perfor,6
perimet,2
perineum,22
peripher,2
peripheri,2
permeabl,2
permit,3
person,2
piec,4
pipe,2
pivot,4
plate,18
plural,48
point,4
poli,3
polystyren,1
polyurethan,3
porou,7
portion,90
posit,65
pouch,8
predetermin,4
prevent,15
process,1
produc,8
proof,4
propel,3
protect,19
protector,40
provid,29
proxim,2
PVA,3
quick,1
rail,20
rail-support,4
rang,1
rate,11
ratio,4
recit,10
region,5
rel,2
releas,12
remot,1
remov,15
resist,7
respect,3
respons,1
rest,1
ride,3
rigid,3
rim,2
ring,6
roller,27
root,1
rotari,19
rotat,20
rubber,1
run,1
said,277
screw,3
scrub,5
scrubber,17
seal,3
sealabl,1
seat,53
seat-support,4
second,80
section,23
secur,20
select,9
semiconductor,21
semirigid,2
separ,3
set,12
sew,1
shape,1
sheath,5
sheet,2
shift,2
shower,1
side,60
sidewal,1
size,1
sleep,32
slide,6
slit,7
sock,5
space,2
spacer,6
span,1
speed,15
spin,1
spot,1
spray,3
stationari,3
stomach,4
storag,4
strap,32
stream,8
strip,2
substanti,10
substrat,7
suffici,5
support,101
surfac,57
synthet,1
system,7
tangenti,3
tear,8
tearabl,6
tighten,39
time,2
tire,1
toe,8
togeth,3
top,9
torn,4
torqu,1
toward,4
trunk,1
tub,2
tube,9
tubular,6
tune,1
turn,12
two,13
type,1
upon,5
upper,17
upwardli,1
use,7
user,19
veloc,3
ventil,7
Venturi,1
vinyl,3
wafer,14
wall,40
wash,1
water,24
water-hold,3
wheel,2
whirlpool,12
width,9
within,1
zip,2
